# (pymysql.err.IntegrityError) (1452, 'Cannot add or update a child row: a foreign key constraint fails (`findabug`.`annotations_kegg_r207`, CONSTRAINT `annotations_kegg_r207_ibfk_2` FOREIGN KEY (`gene_id`) REFERENCES `proteins_r207` (`gene_id`))')
# [SQL: INSERT INTO annotations_kegg_r207 (version, gene_id, genome_id, ko, threshold, score, e_value) VALUES (%(version)s, %(gene_id)s, %(genome_id)s, %(ko)s, %(threshold)s, %(score)s, %(e_value)s)]
# [parameters: [{'version': 207, 'gene_id': 'PAQI01000002.1_19', 'genome_id': 'GCA_002709235.1', 'ko': 'K02233', 'threshold': 43.53, 'score': 0.0, 'e_value': 60.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_61', 'genome_id': 'GCA_002709235.1', 'ko': 'K03905', 'threshold': 382.27, 'score': -2.9, 'e_value': 450.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_61', 'genome_id': 'GCA_002709235.1', 'ko': 'K10063', 'threshold': 404.3, 'score': -8.1, 'e_value': 3600.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_68', 'genome_id': 'GCA_002709235.1', 'ko': 'K06078', 'threshold': 33.9, 'score': 1.9, 'e_value': 76.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_145', 'genome_id': 'GCA_002709235.1', 'ko': 'K08987', 'threshold': 33.37, 'score': 0.1, 'e_value': 69.0}, {'version': 207, 'gene_id': 'PAQI01000002.1_254', 'genome_id': 'GCA_002709235.1', 'ko': 'K21908', 'threshold': 34.43, 'score': 0.6, 'e_value': 67.0}, {'version': 207, 'gene_id': 'PAQI01000003.1_102', 'genome_id': 'GCA_002709235.1', 'ko': 'K01992', 'threshold': 18.2, 'score': 0.5, 'e_value': 69.0}, {'version': 207, 'gene_id': 'PAQI01000003.1_107', 'genome_id': 'GCA_002709235.1', 'ko': 'K07052', 'threshold': 32.0, 'score': 0.8, 'e_value': 45.0}  ... displaying 10 of 11229 total bound parameter sets ...  {'version': 207, 'gene_id': 'JAFQLS010000018.1_2', 'genome_id': 'GCA_017396555.1', 'ko': 'K03558', 'threshold': 40.3, 'score': 0.4, 'e_value': 44.0}, {'version': 207, 'gene_id': 'JAFQLS010000018.1_2', 'genome_id': 'GCA_017396555.1', 'ko': 'K15383', 'threshold': 46.97, 'score': -0.4, 'e_value': 81.0}]]
# (Background on this error at: https://sqlalche.me/e/20/gkpj)
gene_id,ko,threshold,score,e_value,genome_id,version
NZ_ML123034.1_12,K01992,18.2,2.6,27.0,GCF_003846185.1,207
NZ_ML123034.1_73,K02067,81.47,0.7,82.0,GCF_003846185.1,207
NZ_ML123034.1_73,K11548,77.17,-0.4,110.0,GCF_003846185.1,207
NZ_ML123034.1_73,K22644,108.1,-1.2,320.0,GCF_003846185.1,207
NZ_ML123034.1_73,K09892,30.8,-1.8,1700.0,GCF_003846185.1,207
NZ_ML123034.1_73,K11563,140.8,-2.2,250.0,GCF_003846185.1,207
NZ_ML123034.1_86,K03198,67.9,0.8,110.0,GCF_003846185.1,207
NZ_ML123034.1_124,K08188,530.67,-4.1,1300.0,GCF_003846185.1,207
NZ_ML123034.1_126,K03075,26.37,1.0,120.0,GCF_003846185.1,207
NZ_ML123034.1_135,K08994,56.83,0.6,66.0,GCF_003846185.1,207
NZ_ML123034.1_144,K22881,52.77,1.0,94.0,GCF_003846185.1,207
NZ_ML123034.1_158,K07112,27.93,1.0,78.0,GCF_003846185.1,207
NZ_ML123034.1_175,K02810,575.8,-4.0,1100.0,GCF_003846185.1,207
NZ_ML123034.1_180,K02116,20.27,-1.7,700.0,GCF_003846185.1,207
NZ_ML123034.1_180,K03442,234.33,-2.4,650.0,GCF_003846185.1,207
NZ_ML123034.1_248,K20467,69.9,1.5,70.0,GCF_003846185.1,207
NZ_ML123034.1_311,K01992,18.2,1.6,55.0,GCF_003846185.1,207
NZ_ML123034.1_320,K07090,39.27,1.5,40.0,GCF_003846185.1,207
NZ_ML123034.1_332,K06370,72.13,0.7,110.0,GCF_003846185.1,207
NZ_ML123034.1_332,K03122,51.73,0.5,120.0,GCF_003846185.1,207
NZ_ML123034.1_332,K25079,138.57,-0.1,210.0,GCF_003846185.1,207
NZ_ML123034.1_335,K03597,57.47,1.2,130.0,GCF_003846185.1,207
NZ_ML123034.1_345,K07131,47.4,0.8,110.0,GCF_003846185.1,207
NZ_ML123034.1_365,K02196,25.8,3.1,35.0,GCF_003846185.1,207
NZ_ML123034.1_396,K07746,32.8,0.4,280.0,GCF_003846185.1,207
NZ_ML123034.1_433,K01992,18.2,2.4,30.0,GCF_003846185.1,207
NZ_ML123034.1_474,K01992,18.2,2.6,27.0,GCF_003846185.1,207
NZ_ML123034.1_474,K05151,96.43,1.1,110.0,GCF_003846185.1,207
NZ_ML123034.1_517,K04062,43.5,2.2,57.0,GCF_003846185.1,207
