# (pymysql.err.IntegrityError) (1452, 'Cannot add or update a child row: a foreign key constraint fails (`findabug`.`annotations_kegg_r207`, CONSTRAINT `annotations_kegg_r207_ibfk_2` FOREIGN KEY (`gene_id`) REFERENCES `proteins_r207` (`gene_id`))')
# [SQL: INSERT INTO annotations_kegg_r207 (version, gene_id, genome_id, ko, threshold, score, e_value) VALUES (%(version)s, %(gene_id)s, %(genome_id)s, %(ko)s, %(threshold)s, %(score)s, %(e_value)s)]
# [parameters: [{'version': 207, 'gene_id': 'NZ_CP045806.1_14', 'genome_id': 'GCF_009914535.1', 'ko': 'K03803', 'threshold': 50.43, 'score': 1.1, 'e_value': 69.0}, {'version': 207, 'gene_id': 'NZ_CP045806.1_14', 'genome_id': 'GCF_009914535.1', 'ko': 'K14480', 'threshold': 54.13, 'score': 0.4, 'e_value': 72.0}, {'version': 207, 'gene_id': 'NZ_CP045806.1_36', 'genome_id': 'GCF_009914535.1', 'ko': 'K01992', 'threshold': 18.2, 'score': -0.1, 'e_value': 140.0}, {'version': 207, 'gene_id': 'NZ_CP045806.1_42', 'genome_id': 'GCF_009914535.1', 'ko': 'K14744', 'threshold': 37.13, 'score': 0.3, 'e_value': 100.0}, {'version': 207, 'gene_id': 'NZ_CP045806.1_87', 'genome_id': 'GCF_009914535.1', 'ko': 'K07052', 'threshold': 32.0, 'score': 1.1, 'e_value': 46.0}, {'version': 207, 'gene_id': 'NZ_CP045806.1_160', 'genome_id': 'GCF_009914535.1', 'ko': 'K14307', 'threshold': 85.53, 'score': -0.0, 'e_value': 100.0}, {'version': 207, 'gene_id': 'NZ_CP045806.1_162', 'genome_id': 'GCF_009914535.1', 'ko': 'K11095', 'threshold': 54.43, 'score': 0.1, 'e_value': 140.0}, {'version': 207, 'gene_id': 'NZ_CP045806.1_163', 'genome_id': 'GCF_009914535.1', 'ko': 'K13344', 'threshold': 68.67, 'score': -0.3, 'e_value': 130.0}  ... displaying 10 of 11180 total bound parameter sets ...  {'version': 207, 'gene_id': 'NZ_CP039740.1_4295', 'genome_id': 'GCF_005153485.1', 'ko': 'K01992', 'threshold': 18.2, 'score': 0.9, 'e_value': 63.0}, {'version': 207, 'gene_id': 'NZ_CP039740.1_4295', 'genome_id': 'GCF_005153485.1', 'ko': 'K07794', 'threshold': 45.6, 'score': 0.3, 'e_value': 100.0}]]
# (Background on this error at: https://sqlalche.me/e/20/gkpj)
gene_id,ko,threshold,score,e_value,genome_id,version
NZ_SMSJ01000026.1_49,K19058,37.53,2.8,42.0,GCF_004355005.1,207
NZ_SMSJ01000027.1_4,K05337,39.2,-2.5,2400.0,GCF_004355005.1,207
NZ_SMSJ01000027.1_37,K12185,42.0,-1.5,510.0,GCF_004355005.1,207
NZ_SMSJ01000028.1_4,K17421,49.33,2.1,60.0,GCF_004355005.1,207
NZ_SMSJ01000028.1_11,K02575,152.5,-0.9,170.0,GCF_004355005.1,207
NZ_SMSJ01000028.1_34,K10385,40.33,1.4,63.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_1,K22758,81.3,0.4,210.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_16,K06384,37.03,2.1,55.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_16,K09940,38.5,1.7,72.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_16,K11741,101.97,0.9,170.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_16,K03297,99.6,0.4,230.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_16,K08992,32.83,0.4,340.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_16,K03799,137.53,0.2,140.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_16,K08591,66.23,0.0,150.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_16,K07238,119.7,-0.2,160.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_19,K03803,50.43,1.9,63.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_41,K01992,18.2,0.8,120.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_43,K11622,86.13,0.8,97.0,GCF_004355005.1,207
NZ_SMSJ01000029.1_48,K02572,122.17,-0.1,230.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_22,K19058,37.53,2.9,39.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_22,K02418,23.43,-1.3,760.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_46,K09932,53.83,1.5,60.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_46,K06518,37.77,0.6,160.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_50,K14473,42.33,1.4,95.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_50,K02413,33.9,-0.4,450.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_61,K05846,177.87,-1.1,330.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_62,K01992,18.2,3.3,21.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_62,K19310,135.87,0.0,240.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_85,K19058,37.53,1.6,100.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_96,K15581,351.63,-2.1,690.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_96,K02033,271.03,-3.4,1700.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_100,K06996,55.87,0.5,200.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_107,K16919,66.7,0.9,93.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_126,K18481,44.23,2.4,46.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_176,K01992,18.2,2.2,46.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_177,K07401,40.7,2.9,50.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_177,K17272,87.07,1.1,96.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_183,K25802,78.8,0.1,100.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_191,K02067,81.47,1.0,84.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_206,K11086,78.6,0.1,200.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_249,K01992,18.2,-0.1,230.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_267,K06077,40.83,2.8,45.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_267,K00981,48.67,0.0,180.0,GCF_004355005.1,207
NZ_SMSJ01000002.1_276,K14100,42.2,0.1,410.0,GCF_004355005.1,207
NZ_SMSJ01000030.1_27,K19058,37.53,1.6,99.0,GCF_004355005.1,207
NZ_SMSJ01000030.1_27,K18353,112.67,0.2,140.0,GCF_004355005.1,207
NZ_SMSJ01000031.1_3,K00788,168.93,-0.5,200.0,GCF_004355005.1,207
NZ_SMSJ01000031.1_4,K18481,44.23,1.6,80.0,GCF_004355005.1,207
NZ_SMSJ01000031.1_4,K06203,59.27,1.4,63.0,GCF_004355005.1,207
NZ_SMSJ01000031.1_43,K08185,648.3,-3.2,850.0,GCF_004355005.1,207
NZ_SMSJ01000031.1_43,K03535,514.13,-5.4,3200.0,GCF_004355005.1,207
NZ_SMSJ01000032.1_11,K09940,38.5,2.1,55.0,GCF_004355005.1,207
NZ_SMSJ01000032.1_22,K01992,18.2,0.2,180.0,GCF_004355005.1,207
NZ_SMSJ01000032.1_23,K01992,18.2,0.6,140.0,GCF_004355005.1,207
NZ_SMSJ01000032.1_56,K19059,58.8,2.4,81.0,GCF_004355005.1,207
NZ_SMSJ01000032.1_56,K09940,38.5,2.3,48.0,GCF_004355005.1,207
NZ_SMSJ01000032.1_56,K02116,20.27,1.1,130.0,GCF_004355005.1,207
NZ_SMSJ01000032.1_56,K03558,40.3,1.1,97.0,GCF_004355005.1,207
NZ_SMSJ01000033.1_1,K22759,190.53,0.5,290.0,GCF_004355005.1,207
NZ_SMSJ01000342.1_1,K07164,76.43,0.6,110.0,GCF_004355005.1,207
NZ_SMSJ01000342.1_1,K01185,38.07,0.2,140.0,GCF_004355005.1,207
NZ_SMSJ01000342.1_1,K09855,128.07,0.1,130.0,GCF_004355005.1,207
NZ_SMSJ01000344.1_1,K07184,75.53,-0.4,270.0,GCF_004355005.1,207
NZ_SMSJ01000034.1_31,K14473,42.33,0.3,200.0,GCF_004355005.1,207
NZ_SMSJ01000034.1_51,K02943,76.9,1.0,130.0,GCF_004355005.1,207
NZ_SMSJ01000035.1_1,K11086,78.6,0.9,110.0,GCF_004355005.1,207
NZ_SMSJ01000035.1_15,K03425,101.77,1.5,120.0,GCF_004355005.1,207
NZ_SMSJ01000035.1_19,K18481,44.23,1.7,75.0,GCF_004355005.1,207
NZ_SMSJ01000035.1_19,K06077,40.83,1.5,110.0,GCF_004355005.1,207
NZ_SMSJ01000035.1_19,K07344,86.73,-0.1,170.0,GCF_004355005.1,207
NZ_SMSJ01000035.1_20,K02462,50.07,-0.6,540.0,GCF_004355005.1,207
NZ_SMSJ01000360.1_1,K06872,44.0,1.6,52.0,GCF_004355005.1,207
NZ_SMSJ01000365.1_1,K17405,58.83,0.3,170.0,GCF_004355005.1,207
NZ_SMSJ01000365.1_1,K09537,107.83,0.1,150.0,GCF_004355005.1,207
