# (pymysql.err.IntegrityError) (1452, 'Cannot add or update a child row: a foreign key constraint fails (`findabug`.`annotations_kegg_r207`, CONSTRAINT `annotations_kegg_r207_ibfk_2` FOREIGN KEY (`gene_id`) REFERENCES `proteins_r207` (`gene_id`))')
# [SQL: INSERT INTO annotations_kegg_r207 (version, gene_id, genome_id, ko, threshold, score, e_value) VALUES (%(version)s, %(gene_id)s, %(genome_id)s, %(ko)s, %(threshold)s, %(score)s, %(e_value)s)]
# [parameters: [{'version': 207, 'gene_id': 'NZ_JAFBFI010000001.1_3', 'genome_id': 'GCF_016909175.1', 'ko': 'K12511', 'threshold': 136.43, 'score': -1.8, 'e_value': 290.0}, {'version': 207, 'gene_id': 'NZ_JAFBFI010000001.1_5', 'genome_id': 'GCF_016909175.1', 'ko': 'K07034', 'threshold': 37.5, 'score': 0.8, 'e_value': 45.0}, {'version': 207, 'gene_id': 'NZ_JAFBFI010000001.1_29', 'genome_id': 'GCF_016909175.1', 'ko': 'K15977', 'threshold': 58.67, 'score': -0.3, 'e_value': 160.0}, {'version': 207, 'gene_id': 'NZ_JAFBFI010000001.1_54', 'genome_id': 'GCF_016909175.1', 'ko': 'K14801', 'threshold': 52.63, 'score': 0.4, 'e_value': 74.0}, {'version': 207, 'gene_id': 'NZ_JAFBFI010000001.1_74', 'genome_id': 'GCF_016909175.1', 'ko': 'K09787', 'threshold': 52.6, 'score': 0.5, 'e_value': 120.0}, {'version': 207, 'gene_id': 'NZ_JAFBFI010000001.1_74', 'genome_id': 'GCF_016909175.1', 'ko': 'K08950', 'threshold': 66.43, 'score': 0.4, 'e_value': 250.0}, {'version': 207, 'gene_id': 'NZ_JAFBFI010000001.1_74', 'genome_id': 'GCF_016909175.1', 'ko': 'K07216', 'threshold': 41.1, 'score': -1.9, 'e_value': 400.0}, {'version': 207, 'gene_id': 'NZ_JAFBFI010000001.1_85', 'genome_id': 'GCF_016909175.1', 'ko': 'K01549', 'threshold': 67.27, 'score': 1.0, 'e_value': 71.0}  ... displaying 10 of 6398 total bound parameter sets ...  {'version': 207, 'gene_id': 'SHVS01000007.1_25', 'genome_id': 'GCA_009694135.1', 'ko': 'K06561', 'threshold': 313.53, 'score': -8.2, 'e_value': 1600.0}, {'version': 207, 'gene_id': 'SHVS01000007.1_51', 'genome_id': 'GCA_009694135.1', 'ko': 'K08223', 'threshold': 153.77, 'score': -5.3, 'e_value': 920.0}]]
# (Background on this error at: https://sqlalche.me/e/20/gkpj)
gene_id,ko,threshold,score,e_value,genome_id,version
NZ_CP037922.1_63,K02709,113.3,0.2,140.0,GCF_004355185.1,207
NZ_CP037922.1_68,K05337,39.2,-3.1,2300.0,GCF_004355185.1,207
NZ_CP037922.1_117,K19058,37.53,1.0,91.0,GCF_004355185.1,207
NZ_CP037922.1_117,K07112,27.93,0.7,77.0,GCF_004355185.1,207
NZ_CP037922.1_125,K14480,54.13,0.3,75.0,GCF_004355185.1,207
NZ_CP037922.1_155,K07052,32.0,1.4,38.0,GCF_004355185.1,207
NZ_CP037922.1_164,K03523,58.07,0.5,88.0,GCF_004355185.1,207
NZ_CP037922.1_172,K15202,75.03,0.2,80.0,GCF_004355185.1,207
NZ_CP037922.1_260,K18481,44.23,0.4,110.0,GCF_004355185.1,207
NZ_CP037922.1_260,K04056,44.7,-1.3,460.0,GCF_004355185.1,207
NZ_CP037922.1_260,K07184,75.53,-4.0,2000.0,GCF_004355185.1,207
NZ_CP037922.1_312,K01992,18.2,2.0,32.0,GCF_004355185.1,207
NZ_CP037922.1_336,K12223,77.8,0.5,130.0,GCF_004355185.1,207
NZ_CP037922.1_545,K10753,61.53,0.8,89.0,GCF_004355185.1,207
NZ_CP037922.1_545,K07344,86.73,-0.6,150.0,GCF_004355185.1,207
NZ_CP037922.1_556,K15010,84.97,-1.0,180.0,GCF_004355185.1,207
NZ_CP037922.1_586,K12026,425.63,-3.1,550.0,GCF_004355185.1,207
NZ_CP037922.1_589,K17969,40.97,1.6,42.0,GCF_004355185.1,207
NZ_CP037922.1_787,K01992,18.2,2.7,19.0,GCF_004355185.1,207
NZ_CP037922.1_827,K15539,43.57,-5.2,4700.0,GCF_004355185.1,207
NZ_CP037922.1_840,K14744,37.13,0.8,70.0,GCF_004355185.1,207
NZ_CP037922.1_840,K10061,209.07,-1.7,360.0,GCF_004355185.1,207
NZ_CP037922.1_840,K21249,95.83,-2.8,400.0,GCF_004355185.1,207
NZ_CP037922.1_840,K02109,44.33,-3.6,1800.0,GCF_004355185.1,207
NZ_CP037922.1_885,K01992,18.2,2.6,20.0,GCF_004355185.1,207
NZ_CP037922.1_919,K11549,50.03,1.3,55.0,GCF_004355185.1,207
NZ_CP037922.1_924,K13108,97.33,0.0,100.0,GCF_004355185.1,207
NZ_CP037922.1_1037,K06204,35.0,0.1,180.0,GCF_004355185.1,207
NZ_CP037922.1_1052,K07991,60.9,0.1,110.0,GCF_004355185.1,207
NZ_CP037922.1_1055,K07112,27.93,0.6,80.0,GCF_004355185.1,207
NZ_CP037922.1_1056,K01992,18.2,1.6,41.0,GCF_004355185.1,207
NZ_CP037922.1_1071,K07052,32.0,0.7,62.0,GCF_004355185.1,207
NZ_CP037922.1_1071,K02116,20.27,-1.3,420.0,GCF_004355185.1,207
NZ_CP037922.1_1095,K25662,55.93,0.4,110.0,GCF_004355185.1,207
NZ_CP037922.1_1095,K11547,86.6,-1.2,110.0,GCF_004355185.1,207
