# (pymysql.err.IntegrityError) (1452, 'Cannot add or update a child row: a foreign key constraint fails (`findabug`.`annotations_kegg_r207`, CONSTRAINT `annotations_kegg_r207_ibfk_2` FOREIGN KEY (`gene_id`) REFERENCES `proteins_r207` (`gene_id`))')
# [SQL: INSERT INTO annotations_kegg_r207 (version, gene_id, genome_id, ko, threshold, score, e_value) VALUES (%(version)s, %(gene_id)s, %(genome_id)s, %(ko)s, %(threshold)s, %(score)s, %(e_value)s)]
# [parameters: [{'version': 207, 'gene_id': 'DEWO01000156.1_1', 'genome_id': 'GCA_002363695.1', 'ko': 'K05826', 'threshold': 32.67, 'score': -2.0, 'e_value': 310.0}, {'version': 207, 'gene_id': 'DEWO01000156.1_1', 'genome_id': 'GCA_002363695.1', 'ko': 'K19789', 'threshold': 344.67, 'score': -6.7, 'e_value': 1500.0}, {'version': 207, 'gene_id': 'DEWO01000156.1_1', 'genome_id': 'GCA_002363695.1', 'ko': 'K06193', 'threshold': 47.83, 'score': -10.2, 'e_value': 1500.0}, {'version': 207, 'gene_id': 'DEWO01000132.1_5', 'genome_id': 'GCA_002363695.1', 'ko': 'K06078', 'threshold': 33.9, 'score': 0.1, 'e_value': 120.0}, {'version': 207, 'gene_id': 'DEWO01000024.1_10', 'genome_id': 'GCA_002363695.1', 'ko': 'K10405', 'threshold': 561.57, 'score': -15.2, 'e_value': 1500.0}, {'version': 207, 'gene_id': 'DEWO01000054.1_2', 'genome_id': 'GCA_002363695.1', 'ko': 'K03117', 'threshold': 76.23, 'score': 0.1, 'e_value': 79.0}, {'version': 207, 'gene_id': 'DEWO01000128.1_9', 'genome_id': 'GCA_002363695.1', 'ko': 'K01992', 'threshold': 18.2, 'score': 0.1, 'e_value': 38.0}, {'version': 207, 'gene_id': 'DEWO01000021.1_8', 'genome_id': 'GCA_002363695.1', 'ko': 'K01992', 'threshold': 18.2, 'score': -0.1, 'e_value': 45.0}  ... displaying 10 of 9272 total bound parameter sets ...  {'version': 207, 'gene_id': 'JABCPG020000091.1_13', 'genome_id': 'GCA_013333195.2', 'ko': 'K12211', 'threshold': 73.17, 'score': -6.1, 'e_value': 1700.0}, {'version': 207, 'gene_id': 'JABCPG020000095.1_15', 'genome_id': 'GCA_013333195.2', 'ko': 'K06341', 'threshold': 40.67, 'score': 1.2, 'e_value': 43.0}]]
# (Background on this error at: https://sqlalche.me/e/20/gkpj)
gene_id,ko,threshold,score,e_value,genome_id,version
NZ_ML123044.1_1133,K06142,44.07,1.4,120.0,GCF_003846175.1,207
NZ_ML123044.1_1140,K20001,148.33,0.6,170.0,GCF_003846175.1,207
NZ_ML123044.1_1140,K02451,58.87,0.4,310.0,GCF_003846175.1,207
NZ_ML123044.1_1140,K12863,50.23,0.2,140.0,GCF_003846175.1,207
NZ_ML123044.1_1140,K02693,63.97,0.0,410.0,GCF_003846175.1,207
NZ_ML123044.1_1159,K19058,37.53,2.1,83.0,GCF_003846175.1,207
NZ_ML123044.1_1161,K03808,54.43,1.2,65.0,GCF_003846175.1,207
NZ_ML123044.1_1162,K15539,43.57,-1.5,700.0,GCF_003846175.1,207
NZ_ML123044.1_1166,K01992,18.2,2.0,62.0,GCF_003846175.1,207
NZ_ML123044.1_1168,K01992,18.2,1.0,120.0,GCF_003846175.1,207
NZ_ML123044.1_1174,K07058,45.17,0.6,110.0,GCF_003846175.1,207
NZ_ML123044.1_1179,K24915,36.03,0.4,170.0,GCF_003846175.1,207
NZ_ML123044.1_1212,K19058,37.53,0.4,270.0,GCF_003846175.1,207
NZ_ML123044.1_1235,K23168,41.13,1.9,58.0,GCF_003846175.1,207
NZ_ML123044.1_1247,K03597,57.47,2.4,81.0,GCF_003846175.1,207
NZ_ML123044.1_1261,K02257,127.77,-1.0,330.0,GCF_003846175.1,207
NZ_ML123044.1_1262,K14398,132.43,-0.4,260.0,GCF_003846175.1,207
NZ_ML123044.1_1272,K02004,47.77,0.2,85.0,GCF_003846175.1,207
NZ_ML123044.1_1280,K11095,54.43,1.2,130.0,GCF_003846175.1,207
NZ_ML123044.1_1280,K06546,41.0,1.0,140.0,GCF_003846175.1,207
NZ_ML123044.1_1315,K14398,132.43,0.5,140.0,GCF_003846175.1,207
NZ_ML123044.1_1379,K18461,131.67,0.0,140.0,GCF_003846175.1,207
NZ_ML123044.1_1381,K02451,58.87,0.9,220.0,GCF_003846175.1,207
NZ_ML123044.1_1381,K12199,107.17,-0.4,230.0,GCF_003846175.1,207
NZ_ML123044.1_1397,K21449,14.13,1.2,36.0,GCF_003846175.1,207
NZ_ML123044.1_1433,K21449,14.13,0.6,53.0,GCF_003846175.1,207
NZ_ML123044.1_1444,K00426,44.73,1.6,46.0,GCF_003846175.1,207
NZ_ML123044.1_1484,K07058,45.17,1.2,71.0,GCF_003846175.1,207
NZ_ML123044.1_1519,K01992,18.2,1.9,65.0,GCF_003846175.1,207
NZ_ML123044.1_1564,K03220,75.23,1.4,86.0,GCF_003846175.1,207
NZ_ML123044.1_1564,K00988,119.87,0.3,160.0,GCF_003846175.1,207
NZ_ML123044.1_1565,K18481,44.23,2.3,58.0,GCF_003846175.1,207
